name,rom_name,en_name,role
831,,831,
A Niu,,A Niu,
A Si,,A Si,
A-do,,A-do,
A-Lin,,A-Lin,
A-Mei Chang,,A-Mei Chang,
A.R. Rahman,,A.R. Rahman,
Aaron Kwok,,Aaron Kwok,
Abin Fang,,Abin Fang,
Ada Zhuang,,Ada Zhuang,
AGA,,AGA,
Akina Nakamori,,Akina Nakamori,
Alex To,,Alex To,
Alien Huang,,Alien Huang,
Andy Hui,,Andy Hui,
Andy Lau,,Andy Lau,
Ariana Grande,,Ariana Grande,
Bananarama,,Bananarama,
Bedroom Audio,,Bedroom Audio,
Ben E. King,,Ben E. King,
Beyond,,Beyond,
Bill Withers,,Bill Withers,
Bon Jovi,,Bon Jovi,
Brian McKnight,,Brian McKnight,
Bruno Mars,,Bruno Mars,
Calum Scott,,Calum Scott,
Camila Cabello,,Camila Cabello,
Cass Phang,,Cass Phang,
Chilam,,Chilam,
Christie,,Christie,
Christine Fan,,Christine Fan,
Chyi Chin,,Chyi Chin,
Coldplay,,Coldplay,
Counting Crows,,Counting Crows,
Crowd Lu,,Crowd Lu,
Cyndi Lauper,,Cyndi Lauper,
Cyndi Wang,,Cyndi Wang,
Daniela Andrade,,Daniela Andrade,
Dato Siti Nurhaliza,,Dato Siti Nurhaliza,
Dave Wong,,Dave Wong,
David Tao,,David Tao,
Dawen Wang,,Dawen Wang,
Della,,Della,
Donna Lewis,,Donna Lewis,
Eagles,,Eagles,
Eason Chan,,Eason Chan,
Ekin Cheng,,Ekin Cheng,
Elton John,,Elton John,
Elva Hsiao,,Elva Hsiao,
En,,En,
Eric Chou,,Eric Chou,
Evan Yo,,Evan Yo,
EXO,,EXO,
F.I.R.,,F.I.R.,
F.I.R.飛兒樂團,,F.I.R.飛兒樂團,
F4,,F4,
Faye Wong,,Faye Wong,
Fish Leong,,Fish Leong,
Frank Sinatra,,Frank Sinatra,
Frankie Valli,,Frankie Valli,
G.E.M.,,G.E.M.,
Gary Chaw,,Gary Chaw,
Gentle Bones,,Gentle Bones,
George Michael,,George Michael,
Grasshopper,,Grasshopper,
Hacken Lee,,Hacken Lee,
Harlem Yu,,Harlem Yu,
Hoang Thuy Linh,,Hoang Thuy Linh,
HONNE,,HONNE,
Howie Day,,Howie Day,
Hunter Hayes,,Hunter Hayes,
Idina Menzel,,Idina Menzel,
Indecent Obsession,,Indecent Obsession,
Isaac Yong,,Isaac Yong,
IU,,IU,
Jacky Cheung,,Jacky Cheung,
Jason Mraz,,Jason Mraz,
Jay Chou,,Jay Chou,
Jaz,,Jaz,
Jeff Chang,,Jeff Chang,
Jerry Yan,,Jerry Yan,
Jesse McCartney,,Jesse McCartney,
Jim Brickman,,Jim Brickman,
Jimi Hendrix,,Jimi Hendrix,
Jinny Ng,,Jinny Ng,
JJ Lin,,JJ Lin,
Joey Yung,,Joey Yung,
John Denver,,John Denver,
John Legend,,John Legend,
John Lennon,,John Lennon,
Joker Xue,,Joker Xue,
Jolin Tsai,,Jolin Tsai,
Jon McLaughlin,,Jon McLaughlin,
Julie Sue,,Julie Sue,
Karen Mok,,Karen Mok,
Karyn White,,Karyn White,
Katrina & The Waves,,Katrina & The Waves,
Katy Perry,,Katy Perry,
Keala Settle,,Keala Settle,
Kelly Pan,,Kelly Pan,
Kenji Wu,,Kenji Wu,
Khalil Fong,,Khalil Fong,
Kina Grannis,,Kina Grannis,
Kit Chan,,Kit Chan,
Kristen Bell,,Kristen Bell,
Kuana Torres Kahele,,Kuana Torres Kahele,
Kwan Gor,,Kwan Gor,
LaLa Hsu,,LaLa Hsu,
Lana Del Rey,,Lana Del Rey,
Landy Wen,,Landy Wen,
Leehom Wang,,Leehom Wang,
Lennerd,,Lennerd,
Leon Lai,,Leon Lai,
Leona Lewis,,Leona Lewis,
Leslie Cheung,,Leslie Cheung,
Lewis Capaldi,,Lewis Capaldi,
Lifehouse,,Lifehouse,
Lin Hsin Yi,,Lin Hsin Yi,
Linkin Park,,Linkin Park,
Lionel Richie,,Lionel Richie,
Luther Vandross,,Luther Vandross,
Man Bai,,Man Bai,
Mao Buyi,,Mao Buyi,
Mariya Takeuchi,,Mariya Takeuchi,
Mark Ronson,,Mark Ronson,
Maroon 5,,Maroon 5,
Mavis Fan,,Mavis Fan,
Mavis Hee,,Mavis Hee,
Mayday,,Mayday,
MICappella,,MICappella,
Michael Bublé,,Michael Bublé,
Michael Jackson,,Michael Jackson,
Michael Learns To Rock,,Michael Learns To Rock,
Michael Wong,,Michael Wong,
MIN,,MIN,
Miriam Yeung,,Miriam Yeung,
Naim Daniel,,Naim Daniel,
Naomi Scott,,Naomi Scott,
Nat Wu,,Nat Wu,
Natalie Imbruglia,,Natalie Imbruglia,
NEKO Highway,,NEKO Highway,
Nine Chen,,Nine Chen,
Oh Honey,,Oh Honey,
OHMYMEITING,,OHMYMEITING,
Olivia Ong,,Olivia Ong,
One Direction,,One Direction,
OneRepublic,,OneRepublic,
Philip Bailey,,Philip Bailey,
Pika Chiu,,Pika Chiu,
Power Station,,Power Station,
Punch,,Punch,
Queen,,Queen,
R-chord,,R-chord,
Radiohead,,Radiohead,
Rainie Yang,,Rainie Yang,
Randy Newman,,Randy Newman,
Richie Jen,,Richie Jen,
Rick Astley,,Rick Astley,
Ricky Martin,,Ricky Martin,
Ronald Cheng,,Ronald Cheng,
Ronghao Li,,Ronghao Li,
Ruth Kueo,,Ruth Kueo,
Ryann Darling,,Ryann Darling,
S.H.E,,S.H.E,
Sam Lee,,Sam Lee,
Sammi Cheng,,Sammi Cheng,
Samuel E. Wright,,Samuel E. Wright,
Sandy Lam,,Sandy Lam,
Sarah Chen,,Sarah Chen,
Shania Twain,,Shania Twain,
Shawn Mendes,,Shawn Mendes,
Shin,,Shin,
Shirley Chen,,Shirley Chen,
Silence Wang,,Silence Wang,
SKY WU,,SKY WU,
Skylar Grey,,Skylar Grey,
Sơn Tùng M-TP,,Sơn Tùng M-TP,
Spice Girls,,Spice Girls,
Stefanie Sun,,Stefanie Sun,
StellaVee,,StellaVee,
Stevie Wonder,,Stevie Wonder,
Sukhwinder Singh,,Sukhwinder Singh,
TANK 呂建忠,,TANK 呂建忠,
Tanya Chua,,Tanya Chua,
Taylor Swift,,Taylor Swift,
Teresa Teng,,Teresa Teng,
TFBOYS,,TFBOYS,
The Band Perry,,The Band Perry,
The Chainsmokers,,The Chainsmokers,
The Weeknd,,The Weeknd,
Tien Tien,,Tien Tien,
Tiger Hu,,Tiger Hu,
Tingzhi.Hz,,Tingzhi.Hz,
Tones and I,,Tones and I,
Waa Wei,,Waa Wei,
Wakin Chau,,Wakin Chau,
Wang Jun Qi,,Wang Jun Qi,
WeiBird,,WeiBird,
Will Pan,,Will Pan,
Wu Bai,,Wu Bai,
Wu Jia Hui,,Wu Jia Hui,
Xiao Yu,,Xiao Yu,
Yida Huang,,Yida Huang,
Yoga Lin,,Yoga Lin,
Yokez,,Yokez,
Zerlene 鄭潔伶,,Zerlene 鄭潔伶,
Zhang Yu Sheng,,Zhang Yu Sheng,
Zhang Zhen Yue,,Zhang Zhen Yue,
Zubir Said,,Zubir Said,
任然,,任然,
克麗絲叮,,克麗絲叮,
冷漠,,冷漠,
劉人語,,劉人語,
吳青峰,,吳青峰,
寶石Gem,,寶石Gem,
巫啟賢,,巫啟賢,
李季美,,李季美,
林凡,,林凡,
梁文福,,梁文福,
梦然,,梦然,
棉子,,棉子,
湯寶如,,湯寶如,
王貳浪,,王貳浪,
王靖雯不胖,,王靖雯不胖,
胡66,,胡66,
許嵩,,許嵩,
趙詠華,,趙詠華,
那英,,那英,
阿冗,,阿冗,
阿涵,,阿涵,
陳立農,,陳立農,
陳雪燃,,陳雪燃,
颜黎明,,颜黎明,
黄宏墨,,黄宏墨,
